blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
170010010013,435,48,43,28,27,55.569775957799216,75.27283706623525
170010010021,212,27,27,23,35,35.4682957019364,56.674509261219015
170010010022,594,66,135,199,40,209.65924735150605,252.5509849515539
170010011001,404,85,65,32,12,90.82400563727631,112.32987136109433
170010011002,377,82,53,95,39,125.49501982150527,141.70038814343454
170010011003,437,51,51,73,29,89.05054744357274,106.63957989414625
170010011004,428,16,42,45,46,47.75981574503821,78.49203781276162
170010101001,280,15,69,20,37,25,82.18880702382776
170010101002,179,29,32,16,7,33.12099032335839,46.58325879540846
170010101003,168,49,15,16,16,51.54609587543949,56.01785429664367
170010101004,203,12,42,27,62,29.546573405388315,80.50465825031493
170010102001,124,12,6,15,12,19.209372712298546,23.430749027719962
170010102002,193,30,33,38,32,48.41487374764082,66.76076692189807
170010102003,296,26,37,50,27,56.356011214421486,72.62231062146122
170010102004,123,5,5,5,9,7.0710678118654755,12.489995996796797
170010103011,332,56,12,79,65,96.83491106000976,117.2433366976563
170010103012,269,19,15,27,40,33.015148038438355,53.99073994677235
170010103013,241,30,24,15,24,33.54101966249684,47.7179211617606
170010103021,149,12,25,12,44,16.97056274847714,53.376024580330075
170010103022,215,50,22,26,75,56.356011214421486,96.35870484808314
170010103023,372,28,58,71,56,76.32168761236873,111.01801655587259
170010104001,240,48,70,52,65,70.76722405181653,118.88229472886196
170010104002,218,45,73,25,12,51.478150704935004,90.12768719988325
170010104003,275,12,8,5,31,13,34.55430508634199
170010105001,447,68,35,66,52,94.76286192385707,113.61778029868388
170010105002,228,12,32,88,12,88.81441324469807,95.16301802696255
170010106001,365,12,21,47,48,48.507731342539614,71.40028011149536
170010106002,347,80,12,22,43,82.96987405076617,94.2178327069775
170010106003,361,50,39,79,35,93.49331526906082,107.17742299570372
170010106004,460,43,33,45,108,62.24146527838174,128.94572501638044
170039576001,174,5,22,11,14,12.083045973594572,28.74021572639983
170039576002,122,12,12,12,12,16.97056274847714,24
170039576003,126,7,19,17,40,18.384776310850235,47.94788837894741
170039577001,197,26,15,34,46,42.80186911806539,64.59876159803684
170039577002,233,11,12,13,60,17.029386365926403,63.51377803280167
170039578001,227,19,47,10,18,21.470910553583888,54.71745608121781
170039578002,195,12,40,47,12,48.507731342539614,64.00781202322104
170039579001,103,12,12,12,12,16.97056274847714,24
170039579002,124,11,13,12,37,16.278820596099706,42.46174749112429
170059512001,194,13,10,16,12,20.615528128088304,25.865034312755125
170059512002,255,20,17,11,35,22.825424421026653,45.110974274559844
170059512003,225,51,18,33,9,60.74537019394976,63.99218702310463
170059513001,471,12,12,99,100,99.72462083156798,141.73566946961517
170059513002,276,12,12,12,46,16.97056274847714,50.47771785649585
170059513003,593,12,68,12,12,16.97056274847714,71.10555533852471
170059513004,267,12,12,35,12,37,40.70626487409524
170059513005,376,12,42,33,97,35.11409973215888,111.3822247937255
170059514001,207,14,27,7,31,15.652475842498529,43.98863489584554
170059514002,266,64,13,36,26,73.43023900274328,78.9746794865291
170059514003,251,35,58,18,30,39.35733730830886,76.24303246854758
170059515001,176,26,29,16,18,30.528675044947494,45.79301256742124
170059515002,230,29,22,15,43,32.64965543462902,58.30094338859364
170059515003,239,23,17,47,26,52.32590180780452,60.852280154485584
170059515004,183,21,40,6,23,21.840329667841555,51.048996072400875
170070101011,564,38,71,47,108,60.440052945046304,142.68146340712937
170070101012,623,39,68,90,37,98.08669634563088,124.95599225327291
170070101021,845,168,143,47,174,174.4505660638566,284.8824318907714
170070101022,496,108,54,53,102,120.30378215168466,166.71232707871366
170070101023,289,12,35,27,12,29.546573405388315,47.34976240700686
